,t,x,y,u0,u1
54,13,0.3,0.15000000000000002,0.01743517505765055,0.09970952477690151
55,13,0.25,0.2,-1.1232962948557222e-05,8.099900133113753e-05
56,14,0.35,0.2,-1.765875011171588e-05,-7.718642282877903e-05
57,14,0.3,0.25,0.008848670488787553,-0.07511636319175381
58,14,0.3,0.15000000000000002,0.014873700059029127,0.08698363863130568
59,14,0.25,0.2,-7.442300773684251e-06,7.105201149077695e-05
60,15,0.35,0.2,-1.3364565933974496e-05,-6.77100470829676e-05
61,15,0.3,0.25,0.007472194942685163,-0.06507425713880938
62,15,0.3,0.15000000000000002,0.012745521600492297,0.07582943211715706
63,15,0.25,0.2,-4.244391051831208e-06,6.245238960513063e-05
64,16,0.35,0.2,-9.685579186355021e-06,-5.946267708532526e-05
65,16,0.3,0.25,0.00634227168021186,-0.05634923022494819
66,16,0.3,0.15000000000000002,0.010959765076348608,0.06607448980232979
67,16,0.25,0.2,-1.5278534129013153e-06,5.4975534986837696e-05
68,17,0.35,0.2,-6.521032654543903e-06,-5.2258875677362714e-05
69,17,0.3,0.25,0.005405095529424051,-0.048779417411512066
70,17,0.3,0.15000000000000002,0.0094494507284198,0.057555970046609214
71,17,0.25,0.2,7.922060701258756e-07,4.844912322254869e-05
72,18,0.35,0.2,-3.791124378911127e-06,-4.595111779207714e-05
73,18,0.3,0.25,0.00462118823151034,-0.04221811239928372
74,18,0.3,0.15000000000000002,0.00816408351304168,0.0501246238684349
75,18,0.25,0.2,2.7817997919926836e-06,4.273677419292129e-05
76,19,0.35,0.2,-1.4312634225710675e-06,-4.041886541855154e-05
77,19,0.3,0.25,0.003960979738569559,-0.03653454534522399
78,19,0.3,0.15000000000000002,0.007064770118370248,0.043646113701654686
79,19,0.25,0.2,4.493290954409037e-06,3.772765458078785e-05
80,20,0.35,0.2,6.117593715714891e-07,-3.55615399563744e-05
81,20,0.3,0.25,0.0034018806794438054,-0.03161336198518115
82,20,0.3,0.15000000000000002,0.006120955059062346,0.038000889230614926
83,20,0.25,0.2,5.968979412495689e-06,3.3329734046955305e-05
84,21,0.35,0.2,2.382384404048917e-06,-3.129386906108952e-05
85,21,0.3,0.25,0.0029263148461666994,-0.027353484335929018
86,21,0.3,0.15000000000000002,0.005308204617741448,0.033083335329559906
87,21,0.25,0.2,7.243571698946063e-06,2.9465304929577567e-05
88,22,0.35,0.2,3.918121587295678e-06,-2.7542704578894975e-05
89,22,0.3,0.25,0.002520376643514762,-0.023666727641785665
90,22,0.3,0.15000000000000002,0.0046066764773414265,0.028800594345207108
91,22,0.25,0.2,8.345911159879128e-06,2.606792319936038e-05
92,23,0.35,0.2,5.250879754945595e-06,-2.4244766957742172e-05
93,23,0.3,0.25,0.0021729001816741095,-0.020476374478143038
94,23,0.3,0.15000000000000002,0.00400004349158076,0.025071284813871313
95,23,0.25,0.2,9.300213898262005e-06,2.308024855308377e-05
